"distrito","species","reino","nombre_cientifico","clase","orden","familia","genero","n_registros","fuentes","plataformas","primer_anio","ultimo_anio","n_distritos_total","es_exclusiva","iucn_match_name","iucn_categoria_raw","iucn_id","iucn_categoria","es_amenazada_iucn"
"Ancahuasi","Notiochelidon murina","Fauna","Orochelidon murina (Cassin, 1853)","Aves","Passeriformes","Hirundinidae","Notiochelidon",10,"GBIF","eBird",2018,2024,8,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Ancahuasi","Solanum candolleanum","Flora","Solanum candolleanum Berthault","Magnoliopsida","Solanales","Solanaceae","Solanum",10,"GBIF","Otros conjuntos mediados por GBIF",1980,1980,7,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Ancahuasi","Chroicocephalus serranus","Fauna","Chroicocephalus serranus (Tschudi, 1844)","Aves","Charadriiformes","Laridae","Chroicocephalus",9,"GBIF","eBird",2017,2024,9,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Ancahuasi","Conirostrum cinereum","Fauna","Conirostrum cinereum d'Orbigny & Lafresnaye, 1838","Aves","Passeriformes","Thraupidae","Conirostrum",9,"GBIF","eBird",2018,2024,7,FALSE,"Conirostrum cinereum","Least Concern","22722096","Preocupación Menor (LC)",FALSE
"Ancahuasi","Metallura tyrianthina","Fauna","Metallura tyrianthina (Loddiges, 1832)","Aves","Apodiformes","Trochilidae","Metallura",9,"GBIF","eBird",2020,2024,8,FALSE,"Metallura tyrianthina","Least Concern","22688015","Preocupación Menor (LC)",FALSE
"Ancahuasi","Ochthoeca leucophrys","Fauna","Ochthoeca leucophrys (Orbigny & Lafresnaye, 1837)","Aves","Passeriformes","Tyrannidae","Ochthoeca",9,"GBIF","eBird",2018,2024,8,FALSE,"Ochthoeca leucophrys","Least Concern","22699943","Preocupación Menor (LC)",FALSE
"Ancahuasi","Polioxolmis rufipennis","Fauna","Cnemarchus rufipennis (Taczanowski, 1874)","Aves","Passeriformes","Tyrannidae","Polioxolmis",9,"GBIF","eBird",2018,2024,6,FALSE,"Polioxolmis rufipennis","Least Concern","22700123","Preocupación Menor (LC)",FALSE
"Ancahuasi","Agriornis montanus","Fauna","Agriornis montanus (Orbigny & Lafresnaye, 1837)","Aves","Passeriformes","Tyrannidae","Agriornis",8,"GBIF","eBird / Otros conjuntos mediados por GBIF",1899,2024,6,FALSE,"Agriornis montanus","Least Concern","22700072","Preocupación Menor (LC)",FALSE
"Ancahuasi","Asthenes ottonis","Fauna","Asthenes ottonis (Berlepsch, 1901)","Aves","Passeriformes","Furnariidae","Asthenes",8,"GBIF","eBird",2018,2024,8,FALSE,"Asthenes ottonis","Least Concern","22702497","Preocupación Menor (LC)",FALSE
"Ancahuasi","Cranioleuca albicapilla","Fauna","Cranioleuca albicapilla (Cabanis, 1873)","Aves","Passeriformes","Furnariidae","Cranioleuca",8,"GBIF","eBird",2018,2023,8,FALSE,"Cranioleuca albicapilla","Least Concern","22702448","Preocupación Menor (LC)",FALSE
"Ancahuasi","Bubulcus ibis","Fauna","Ardea ibis Linnaeus, 1758","Aves","Pelecaniformes","Ardeidae","Bubulcus",7,"GBIF","eBird",2017,2024,8,FALSE,"Bubulcus ibis","Least Concern","22697109","Preocupación Menor (LC)",FALSE
"Ancahuasi","Begonia glabra","Flora","Begonia glabra Aubl.","Magnoliopsida","Cucurbitales","Begoniaceae","Begonia",6,"GBIF","Otros conjuntos mediados por GBIF",2005,2005,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Ancahuasi","Geranoaetus melanoleucus","Fauna","Geranoaetus melanoleucus (Vieillot, 1819)","Aves","Accipitriformes","Accipitridae","Geranoaetus",6,"GBIF","eBird",2017,2024,8,FALSE,"Geranoaetus melanoleucus","Least Concern","22695845","Preocupación Menor (LC)",FALSE
"Ancahuasi","Lesbia victoriae","Fauna","Lesbia victoriae (Bourcier & Mulsant, 1846)","Aves","Apodiformes","Trochilidae","Lesbia",6,"GBIF","eBird",2022,2023,8,FALSE,"Lesbia victoriae","Least Concern","22687971","Preocupación Menor (LC)",FALSE
"Ancahuasi","Macropharynx gigantea","Flora","Peltastes giganteus Woodson","Magnoliopsida","Gentianales","Apocynaceae","Macropharynx",6,"GBIF","Otros conjuntos mediados por GBIF",2005,2005,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Ancahuasi","Prumnopitys harmsiana","Flora","Prumnopitys harmsiana (Pilg.) de Laub.","Pinopsida","Pinales","Podocarpaceae","Prumnopitys",6,"GBIF","Otros conjuntos mediados por GBIF",2005,2005,1,TRUE,"Prumnopitys harmsiana","Near Threatened","32287","Casi Amenazada (NT)",FALSE
"Ancahuasi","Quechualia fulta","Flora","Quechualia fulta (Griseb.) H.Rob.","Magnoliopsida","Asterales","Asteraceae","Quechualia",6,"GBIF","Otros conjuntos mediados por GBIF",2005,2005,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Ancahuasi","Solanum albidum","Flora","Solanum albidum Dunal","Magnoliopsida","Solanales","Solanaceae","Solanum",6,"GBIF","Otros conjuntos mediados por GBIF",2005,2005,1,TRUE,"Solanum albidum","Least Concern","146118804","Preocupación Menor (LC)",FALSE
"Ancahuasi","Styrax pavonii","Flora","Styrax cordatus (Ruiz & Pav.) A.DC.","Magnoliopsida","Ericales","Styracaceae","Styrax",6,"GBIF","Otros conjuntos mediados por GBIF",2005,2005,1,TRUE,"Styrax pavonii","Least Concern","193925464","Preocupación Menor (LC)",FALSE
