"cell_id","area_km2","records","flora_species","fauna_species","species","recent_records","status","priority","tooltip"
"A100",25,1973,8,127,135,1313,"Cobertura suficiente",4,"Celda: A100<br>Estado: Cobertura suficiente<br>Registros:  1,973<br>Especies: 135<br>Area: 25 km2"
"A101",25,37,2,32,34,19,"Cobertura baja",3,"Celda: A101<br>Estado: Cobertura baja<br>Registros:     37<br>Especies: 34<br>Area: 25 km2"
"A102",25,4,3,1,4,2,"Cobertura muy baja",2,"Celda: A102<br>Estado: Cobertura muy baja<br>Registros:      4<br>Especies: 4<br>Area: 25 km2"
"A103",25,261,68,25,93,0,"Cobertura suficiente",4,"Celda: A103<br>Estado: Cobertura suficiente<br>Registros:    261<br>Especies: 93<br>Area: 25 km2"
"A104",25,31,0,28,28,0,"Cobertura baja",3,"Celda: A104<br>Estado: Cobertura baja<br>Registros:     31<br>Especies: 28<br>Area: 25 km2"
"A105",25,78,4,22,26,37,"Cobertura suficiente",4,"Celda: A105<br>Estado: Cobertura suficiente<br>Registros:     78<br>Especies: 26<br>Area: 25 km2"
"A106",25,266,36,68,104,206,"Cobertura suficiente",4,"Celda: A106<br>Estado: Cobertura suficiente<br>Registros:    266<br>Especies: 104<br>Area: 25 km2"
"A107",25,63,2,20,22,48,"Cobertura suficiente",4,"Celda: A107<br>Estado: Cobertura suficiente<br>Registros:     63<br>Especies: 22<br>Area: 25 km2"
"A108",24.9964930257616,46,4,2,6,1,"Cobertura baja",3,"Celda: A108<br>Estado: Cobertura baja<br>Registros:     46<br>Especies: 6<br>Area: 25 km2"
"A109",12.7516237215753,31,10,7,17,29,"Cobertura baja",3,"Celda: A109<br>Estado: Cobertura baja<br>Registros:     31<br>Especies: 17<br>Area: 12.8 km2"
"A115",1.9269236965838,0,0,0,0,0,"Sin registros",1,"Celda: A115<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 1.9 km2"
"A116",13.0009316579082,118,1,40,41,0,"Cobertura suficiente",4,"Celda: A116<br>Estado: Cobertura suficiente<br>Registros:    118<br>Especies: 41<br>Area: 13 km2"
"A117",24.5782035105672,22,1,19,20,1,"Cobertura baja",3,"Celda: A117<br>Estado: Cobertura baja<br>Registros:     22<br>Especies: 20<br>Area: 24.6 km2"
"A118",25,53,0,53,53,0,"Cobertura suficiente",4,"Celda: A118<br>Estado: Cobertura suficiente<br>Registros:     53<br>Especies: 53<br>Area: 25 km2"
"A119",25,2,0,2,2,2,"Cobertura muy baja",2,"Celda: A119<br>Estado: Cobertura muy baja<br>Registros:      2<br>Especies: 2<br>Area: 25 km2"
"A120",25,714,30,98,128,204,"Cobertura suficiente",4,"Celda: A120<br>Estado: Cobertura suficiente<br>Registros:    714<br>Especies: 128<br>Area: 25 km2"
"A121",24.9999999999997,7761,70,192,262,4434,"Cobertura suficiente",4,"Celda: A121<br>Estado: Cobertura suficiente<br>Registros:  7,761<br>Especies: 262<br>Area: 25 km2"
"A122",25,90,5,50,55,6,"Cobertura suficiente",4,"Celda: A122<br>Estado: Cobertura suficiente<br>Registros:     90<br>Especies: 55<br>Area: 25 km2"
"A123",25,995,31,113,144,829,"Cobertura suficiente",4,"Celda: A123<br>Estado: Cobertura suficiente<br>Registros:    995<br>Especies: 144<br>Area: 25 km2"
"A124",25,157,8,58,66,38,"Cobertura suficiente",4,"Celda: A124<br>Estado: Cobertura suficiente<br>Registros:    157<br>Especies: 66<br>Area: 25 km2"
"A125",25,19,2,12,14,0,"Cobertura baja",3,"Celda: A125<br>Estado: Cobertura baja<br>Registros:     19<br>Especies: 14<br>Area: 25 km2"
"A126",25,609,16,102,118,497,"Cobertura suficiente",4,"Celda: A126<br>Estado: Cobertura suficiente<br>Registros:    609<br>Especies: 118<br>Area: 25 km2"
"A127",25,656,4,79,83,632,"Cobertura suficiente",4,"Celda: A127<br>Estado: Cobertura suficiente<br>Registros:    656<br>Especies: 83<br>Area: 25 km2"
"A128",25,5799,5,133,138,5682,"Cobertura suficiente",4,"Celda: A128<br>Estado: Cobertura suficiente<br>Registros:  5,799<br>Especies: 138<br>Area: 25 km2"
"A129",25,602,60,73,133,463,"Cobertura suficiente",4,"Celda: A129<br>Estado: Cobertura suficiente<br>Registros:    602<br>Especies: 133<br>Area: 25 km2"
"A130",25,109,13,48,61,34,"Cobertura suficiente",4,"Celda: A130<br>Estado: Cobertura suficiente<br>Registros:    109<br>Especies: 61<br>Area: 25 km2"
"A131",20.5251891510825,289,6,54,60,168,"Cobertura suficiente",4,"Celda: A131<br>Estado: Cobertura suficiente<br>Registros:    289<br>Especies: 60<br>Area: 20.5 km2"
"A132",11.2681127948944,166,4,30,34,161,"Cobertura suficiente",4,"Celda: A132<br>Estado: Cobertura suficiente<br>Registros:    166<br>Especies: 34<br>Area: 11.3 km2"
"A135",3.05806601544185,1,1,0,1,0,"Cobertura muy baja",2,"Celda: A135<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 3.1 km2"
"A136",10.2372370193821,459,51,102,153,241,"Cobertura suficiente",4,"Celda: A136<br>Estado: Cobertura suficiente<br>Registros:    459<br>Especies: 153<br>Area: 10.2 km2"
"A137",17.1067441787275,6,1,4,5,3,"Cobertura muy baja",2,"Celda: A137<br>Estado: Cobertura muy baja<br>Registros:      6<br>Especies: 5<br>Area: 17.1 km2"
"A138",25,82,0,42,42,0,"Cobertura suficiente",4,"Celda: A138<br>Estado: Cobertura suficiente<br>Registros:     82<br>Especies: 42<br>Area: 25 km2"
"A139",20.9407990093048,57,6,22,28,0,"Cobertura suficiente",4,"Celda: A139<br>Estado: Cobertura suficiente<br>Registros:     57<br>Especies: 28<br>Area: 20.9 km2"
"A140",24.8608955565056,1,1,0,1,1,"Cobertura muy baja",2,"Celda: A140<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 24.9 km2"
"A141",25,1,1,0,1,0,"Cobertura muy baja",2,"Celda: A141<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 25 km2"
"A142",24.9999999999998,1822,30,141,171,1153,"Cobertura suficiente",4,"Celda: A142<br>Estado: Cobertura suficiente<br>Registros:  1,822<br>Especies: 171<br>Area: 25 km2"
"A143",25,97,17,30,47,1,"Cobertura suficiente",4,"Celda: A143<br>Estado: Cobertura suficiente<br>Registros:     97<br>Especies: 47<br>Area: 25 km2"
"A144",25,13,0,11,11,11,"Cobertura baja",3,"Celda: A144<br>Estado: Cobertura baja<br>Registros:     13<br>Especies: 11<br>Area: 25 km2"
"A145",25,88,0,35,35,88,"Cobertura suficiente",4,"Celda: A145<br>Estado: Cobertura suficiente<br>Registros:     88<br>Especies: 35<br>Area: 25 km2"
"A146",25,53,2,23,25,52,"Cobertura suficiente",4,"Celda: A146<br>Estado: Cobertura suficiente<br>Registros:     53<br>Especies: 25<br>Area: 25 km2"
"A147",25,40,8,17,25,3,"Cobertura baja",3,"Celda: A147<br>Estado: Cobertura baja<br>Registros:     40<br>Especies: 25<br>Area: 25 km2"
"A148",25,94,30,40,70,56,"Cobertura suficiente",4,"Celda: A148<br>Estado: Cobertura suficiente<br>Registros:     94<br>Especies: 70<br>Area: 25 km2"
"A149",25,2725,4,113,117,2716,"Cobertura suficiente",4,"Celda: A149<br>Estado: Cobertura suficiente<br>Registros:  2,725<br>Especies: 117<br>Area: 25 km2"
"A150",25,143,10,41,51,68,"Cobertura suficiente",4,"Celda: A150<br>Estado: Cobertura suficiente<br>Registros:    143<br>Especies: 51<br>Area: 25 km2"
"A151",25,10691,27,132,159,9277,"Cobertura suficiente",4,"Celda: A151<br>Estado: Cobertura suficiente<br>Registros: 10,691<br>Especies: 159<br>Area: 25 km2"
"A152",12.6927701564099,9479,4,164,168,4780,"Cobertura suficiente",4,"Celda: A152<br>Estado: Cobertura suficiente<br>Registros:  9,479<br>Especies: 168<br>Area: 12.7 km2"
"A153",0.967794262118176,0,0,0,0,0,"Sin registros",1,"Celda: A153<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 1 km2"
"A155",9.01000914820757,1,0,1,1,0,"Cobertura muy baja",2,"Celda: A155<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 9 km2"
"A156",14.7276142246709,0,0,0,0,0,"Sin registros",1,"Celda: A156<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 14.7 km2"
