scntfcN,taxnRnk,kingdom,order,family,genus,species
"Falco sparverius Linnaeus, 1758",SPECIES,Animalia,Falconiformes,Falconidae,Falco,Falco sparverius
"Bubo magellanicus (R.Lesson, 1828)",SPECIES,Animalia,Strigiformes,Strigidae,Bubo,Bubo magellanicus
"Cranioleuca albicapilla (Cabanis, 1873)",SPECIES,Animalia,Passeriformes,Furnariidae,Cranioleuca,Cranioleuca albicapilla
"Geranoaetus polyosoma (Quoy & Gaimard, 1824)",SPECIES,Animalia,Accipitriformes,Accipitridae,Buteo,Buteo polyosoma
"Pheucticus aureoventris (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Cardinalidae,Pheucticus,Pheucticus aureoventris
"Rhopospina fruticeti (Kittlitz, 1833)",SPECIES,Animalia,Passeriformes,Thraupidae,Rhopospina,Rhopospina fruticeti
"Rauenia bonariensis (J.F.Gmelin, 1789)",SPECIES,Animalia,Passeriformes,Thraupidae,Rauenia,Rauenia bonariensis
"Cinclodes atacamensis (Philippi, 1857)",SPECIES,Animalia,Passeriformes,Furnariidae,Cinclodes,Cinclodes atacamensis
"Pseudocolopteryx acutipennis (P.L.Sclater & Salvin, 1873)",SPECIES,Animalia,Passeriformes,Tyrannidae,Pseudocolopteryx,Pseudocolopteryx acutipennis
"Myiotheretes striaticollis (P.L.Sclater, 1853)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiotheretes,Myiotheretes striaticollis
"Anas flavirostris Vieillot, 1816",SPECIES,Animalia,Anseriformes,Anatidae,Anas,Anas flavirostris
"Elaenia albiceps (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Elaenia,Elaenia albiceps
"Ochthoeca rufipectoralis (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Ochthoeca,Ochthoeca rufipectoralis
"Agriornis albicauda (Philippi & Landbeck, 1863)",SPECIES,Animalia,Passeriformes,Tyrannidae,Agriornis,Agriornis andicola
"Muscisaxicola rufivertex Orbigny & Lafresnaye, 1837",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola rufivertex
"Turdus fuscater Orbigny & Lafresnaye, 1837",SPECIES,Animalia,Passeriformes,Turdidae,Turdus,Turdus fuscater
"Gallinula galeata (Lichtenstein & Mhc, 1818)",SPECIES,Animalia,Gruiformes,Rallidae,Gallinula,Gallinula chloropus
"Pardirallus sanguinolentus (Swainson, 1838)",SPECIES,Animalia,Gruiformes,Rallidae,Pardirallus,Pardirallus sanguinolentus
"Aeronautes andecolus (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Apodiformes,Apodidae,Aeronautes,Aeronautes andecolus
"Patagioenas fasciata (Say, 1822)",SPECIES,Animalia,Columbiformes,Columbidae,Patagioenas,Patagioenas fasciata
"Hirundinea ferruginea (Gmelin, 1788)",SPECIES,Animalia,Passeriformes,Tyrannidae,Hirundinea,Hirundinea ferruginea
"Pachyramphus validus (Lichtenstein, 1823)",SPECIES,Animalia,Passeriformes,Cotingidae,Pachyramphus,Pachyramphus validus
"Geranoaetus melanoleucus (Vieillot, 1819)",SPECIES,Animalia,Accipitriformes,Accipitridae,Geranoaetus,Geranoaetus melanoleucus
"Dacnis cayana (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Thraupidae,Dacnis,Dacnis cayana
"Ardea alba Linnaeus, 1758",SPECIES,Animalia,Pelecaniformes,Ardeidae,Ardea,Ardea alba
