scntfcN,taxnRnk,kingdom,order,family,genus,species
"Mygona thammi Staudinger, 1875",SPECIES,Animalia,Lepidoptera,Nymphalidae,Mygona,Mygona thammi
"Doxocopa laurentia (Godart, 1823)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Doxocopa,Doxocopa laurentia
"Historis odius (Fabricius, 1775)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Historis,Historis odius
"Tachuris rubrigastra (Vieillot, 1817)",SPECIES,Animalia,Passeriformes,Tyrannidae,Tachuris,Tachuris rubrigastra
"Eristalis tenax (Linnaeus, 1758)",SPECIES,Animalia,Diptera,Syrphidae,Eristalis,Eristalis tenax
"Vanessa braziliensis (Moore, 1883)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Vanessa,Vanessa braziliensis
"Equus asinus Linnaeus, 1758",SPECIES,Animalia,Perissodactyla,Equidae,Equus,Equus asinus
"Lepus europaeus Pallas, 1778",SPECIES,Animalia,Lagomorpha,Leporidae,Lepus,Lepus europaeus
"Canis familiaris Linnaeus, 1758",SPECIES,Animalia,Carnivora,Canidae,Canis,Canis lupus
"Caracara plancus (J.F.Miller, 1777)",SPECIES,Animalia,Falconiformes,Falconidae,Caracara,Caracara plancus
"Himantopus mexicanus (P.L.S.Müller, 1776)",SPECIES,Animalia,Charadriiformes,Recurvirostridae,Himantopus,Himantopus mexicanus
"Sicalis luteola (Sparrman, 1789)",SPECIES,Animalia,Passeriformes,Thraupidae,Sicalis,Sicalis luteola
"Phleocryptes melanops (Vieillot, 1817)",SPECIES,Animalia,Passeriformes,Furnariidae,Phleocryptes,Phleocryptes melanops
"Phoenicopterus chilensis Molina, 1782",SPECIES,Animalia,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus chilensis
"Calidris bairdii (Coues, 1861)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Calidris,Calidris bairdii
"Sporophila luctuosa (Lafresnaye, 1843)",SPECIES,Animalia,Passeriformes,Thraupidae,Sporophila,Sporophila luctuosa
"Nannopterum brasilianum (J.F.Gmelin, 1789)",SPECIES,Animalia,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax brasilianus
"Actitis macularius (Linnaeus, 1766)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Actitis,Actitis macularius
"Egretta caerulea (Linnaeus, 1758)",SPECIES,Animalia,Pelecaniformes,Ardeidae,Egretta,Egretta caerulea
"Lessonia oreas (P.L.Sclater & Salvin, 1869)",SPECIES,Animalia,Passeriformes,Tyrannidae,Lessonia,Lessonia oreas
"Riparia riparia (Linnaeus, 1758)",SPECIES,Animalia,Passeriformes,Hirundinidae,Riparia,Riparia riparia
"Dolichonyx oryzivorus (Linnaeus, 1758)",SPECIES,Animalia,Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus
"Spatula discors (Linnaeus, 1766)",SPECIES,Animalia,Anseriformes,Anatidae,Spatula,Spatula discors
"Butorides striata (Linnaeus, 1758)",SPECIES,Animalia,Pelecaniformes,Ardeidae,Butorides,Butorides striata
"Metriopelia aymara (Prévost, 1840)",SPECIES,Animalia,Columbiformes,Columbidae,Metriopelia,Metriopelia aymara
"Sicalis uropigyalis (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Sicalis,Sicalis uropigyalis
"Anas bahamensis Linnaeus, 1758",SPECIES,Animalia,Anseriformes,Anatidae,Anas,Anas bahamensis
"Anthus brevirostris Taczanowski, 1875",SPECIES,Animalia,Passeriformes,Motacillidae,Anthus,Anthus brevirostris
"Fulica gigantea Eydoux & Souleyet, 1841",SPECIES,Animalia,Gruiformes,Rallidae,Fulica,Fulica gigantea
"Calidris himantopus (Bonaparte, 1826)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Calidris,Calidris himantopus
"Vanellus chilensis (Molina, 1782)",SPECIES,Animalia,Charadriiformes,Charadriidae,Vanellus,Vanellus chilensis
"Leptotila verreauxi Bonaparte, 1855",SPECIES,Animalia,Columbiformes,Columbidae,Leptotila,Leptotila verreauxi
"Buteo brachyurus Vieillot, 1816",SPECIES,Animalia,Accipitriformes,Accipitridae,Buteo,Buteo brachyurus
"Asthenes dorbignyi (Reichenbach, 1853)",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes dorbignyi
"Tachybaptus dominicus (Linnaeus, 1766)",SPECIES,Animalia,Podicipediformes,Podicipedidae,Tachybaptus,Tachybaptus dominicus
"Nystalus chacuru (Vieillot, 1816)",SPECIES,Animalia,Piciformes,Bucconidae,Nystalus,Nystalus chacuru
"Knipolegus aterrimus Kaup, 1853",SPECIES,Animalia,Passeriformes,Tyrannidae,Knipolegus,Knipolegus aterrimus
"Agelasticus xanthophthalmus (Short, 1969)",SPECIES,Animalia,Passeriformes,Icteridae,Agelasticus,Agelasticus xanthophthalmus
"Gallinago andina Taczanowski, 1875",SPECIES,Animalia,Charadriiformes,Scolopacidae,Gallinago,Gallinago andina
"Pluvialis dominica (P.L.S.Müller, 1776)",SPECIES,Animalia,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica
"Petrochelidon pyrrhonota (Vieillot, 1817)",SPECIES,Animalia,Passeriformes,Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota
"Limosa haemastica (Linnaeus, 1758)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Limosa,Limosa haemastica
"Ardea cocoi Linnaeus, 1766",SPECIES,Animalia,Pelecaniformes,Ardeidae,Ardea,Ardea cocoi
"Sclerurus obscurior Hartert & Ejo, 1901",SPECIES,Animalia,Passeriformes,Furnariidae,Sclerurus,Sclerurus obscurior
"Ictinia plumbea (Gmelin, 1788)",SPECIES,Animalia,Accipitriformes,Accipitridae,Ictinia,Ictinia plumbea
"Progne tapera (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Hirundinidae,Progne,Progne tapera
"Eriocnemis luciani (Bourcier, 1847)",SPECIES,Animalia,Apodiformes,Trochilidae,Eriocnemis,Eriocnemis luciani
"Sporophila nigricollis (Vieillot, 1823)",SPECIES,Animalia,Passeriformes,Thraupidae,Sporophila,Sporophila nigricollis
"Nothura darwinii G.R.Gray, 1867",SPECIES,Animalia,Tinamiformes,Tinamidae,Nothura,Nothura darwinii
"Myiornis ecaudatus (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiornis,Myiornis ecaudatus
"Passer domesticus (Linnaeus, 1758)",SPECIES,Animalia,Passeriformes,Passeridae,Passer,Passer domesticus
"Charadrius semipalmatus Bonaparte, 1825",SPECIES,Animalia,Charadriiformes,Charadriidae,Charadrius,Charadrius semipalmatus
"Columbina talpacoti (Temminck, 1810)",SPECIES,Animalia,Columbiformes,Columbidae,Columbina,Columbina talpacoti
"Catamenia homochroa P.L.Sclater, 1859",SPECIES,Animalia,Passeriformes,Thraupidae,Catamenia,Catamenia homochroa
"Kleinothraupis atropileus (Lafresnaye, 1842)",SPECIES,Animalia,Passeriformes,Thraupidae,Kleinothraupis,Kleinothraupis atropileus
"Recurvirostra andina Philippi & Landbeck, 1861",SPECIES,Animalia,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra andina
"Calidris pusilla (Linnaeus, 1766)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Calidris,Calidris pusilla
"Chlorornis riefferii (Boissonneau, 1840)",SPECIES,Animalia,Passeriformes,Thraupidae,Chlorornis,Chlorornis riefferii
"Dendrocygna autumnalis (Linnaeus, 1758)",SPECIES,Animalia,Anseriformes,Anatidae,Dendrocygna,Dendrocygna autumnalis
"Pseudastur albicollis (Latham, 1790)",SPECIES,Animalia,Accipitriformes,Accipitridae,Leucopternis,Leucopternis albicollis
"Porphyrio martinica (Linnaeus, 1766)",SPECIES,Animalia,Gruiformes,Rallidae,Porphyrio,Porphyrio martinica
"Bartramia longicauda (Bechstein, 1812)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda
"Crypturellus obsoletus (Temminck, 1815)",SPECIES,Animalia,Tinamiformes,Tinamidae,Crypturellus,Crypturellus obsoletus
"Orochelidon flavipes (Chapman, 1922)",SPECIES,Animalia,Passeriformes,Hirundinidae,Notiochelidon,Notiochelidon flavipes
"Coccyzus americanus (Linnaeus, 1758)",SPECIES,Animalia,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus
"Glaucidium bolivianum C.König, 1991",SPECIES,Animalia,Strigiformes,Strigidae,Glaucidium,Glaucidium bolivianum
"Accipiter striatus Vieillot, 1808",SPECIES,Animalia,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus
"Empidonomus aurantioatrocristatus (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Empidonomus,Empidonomus aurantioatrocristatus
"Buteogallus solitarius (Tschudi, 1844)",SPECIES,Animalia,Accipitriformes,Accipitridae,Harpyhaliaetus,Harpyhaliaetus solitarius
"Patagioenas plumbea (Vieillot, 1818)",SPECIES,Animalia,Columbiformes,Columbidae,Patagioenas,Patagioenas plumbea
"Calidris subruficollis (Vieillot, 1819)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Calidris,Calidris subruficollis
"Calidris minutilla (Vieillot, 1819)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Calidris,Calidris minutilla
"Chlidonias niger (Linnaeus, 1758)",SPECIES,Animalia,Charadriiformes,Laridae,Chlidonias,Chlidonias niger
"Progne subis (Linnaeus, 1758)",SPECIES,Animalia,Passeriformes,Hirundinidae,Progne,Progne subis
"Calidris fuscicollis (Vieillot, 1819)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Calidris,Calidris fuscicollis
"Mycteria americana Linnaeus, 1758",SPECIES,Animalia,Ciconiiformes,Ciconiidae,Mycteria,Mycteria americana
"Amaurolimnas concolor (Gosse, 1847)",SPECIES,Animalia,Gruiformes,Rallidae,Amaurolimnas,Amaurolimnas concolor
"Sylviorthorhynchus yanacensis (Carriker, 1933)",SPECIES,Animalia,Passeriformes,Furnariidae,Leptasthenura,Leptasthenura yanacensis
"Thraupis episcopus (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Thraupidae,Thraupis,Thraupis episcopus
"Syrtidicola fluviatilis (P.L.Sclater & Salvin, 1866)",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola fluviatilis
"Tyto furcata (Temminck, 1827)",SPECIES,Animalia,Strigiformes,Tytonidae,Tyto,Tyto furcata
"Anisognathus igniventris (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Anisognathus,Anisognathus igniventris
"Mecocerculus leucophrys (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Mecocerculus,Mecocerculus leucophrys
"Spinus olivaceus von Berlepsch & Stolzmann, 1894",SPECIES,Animalia,Passeriformes,Fringillidae,Spinus,Spinus olivaceus
"Podilymbus podiceps (Linnaeus, 1758)",SPECIES,Animalia,Podicipediformes,Podicipedidae,Podilymbus,Podilymbus podiceps
"Crotophaga ani Linnaeus, 1758",SPECIES,Animalia,Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani
"Tyrannus melancholicus Vieillot, 1819",SPECIES,Animalia,Passeriformes,Tyrannidae,Tyrannus,Tyrannus melancholicus
"Calidris alba (Pallas, 1764)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Calidris,Calidris alba
"Volatinia jacarina (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina
"Porzana carolina (Linnaeus, 1758)",SPECIES,Animalia,Gruiformes,Rallidae,Porzana,Porzana carolina
"Leucophaeus atricilla (Linnaeus, 1758)",SPECIES,Animalia,Charadriiformes,Laridae,Leucophaeus,Leucophaeus atricilla
"Heliodoxa rubinoides (Bourcier & Mulsant, 1846)",SPECIES,Animalia,Apodiformes,Trochilidae,Heliodoxa,Heliodoxa rubinoides
"Penelope montagnii (Bonaparte, 1856)",SPECIES,Animalia,Galliformes,Cracidae,Penelope,Penelope montagnii
"Anthus bogotensis P.L.Sclater, 1855",SPECIES,Animalia,Passeriformes,Motacillidae,Anthus,Anthus bogotensis
"Gallinago jamesoni (Jardine & Bonaparte, 1855)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Gallinago,Gallinago jamesoni
"Thinocorus orbignyianus I.Geoffroy Saint-Hilaire & R.Lesson, 1831",SPECIES,Animalia,Charadriiformes,Thinocoridae,Thinocorus,Thinocorus orbignyianus
"Anas cyanoptera Vieillot, 1816",SPECIES,Animalia,Anseriformes,Anatidae,Spatula,Spatula cyanoptera
"Anas versicolor Vieillot, 1816",SPECIES,Animalia,Anseriformes,Anatidae,Spatula,Spatula versicolor
"Spatula cyanoptera orinoma (Oberholser, 1906)",SUBSPECIES,Animalia,Anseriformes,Anatidae,Spatula,Spatula cyanoptera
"Muscisaxicola albilora Lafresnaye, 1855",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola albilora
"Asthenes helleri (Chapman, 1923)",SPECIES,Animalia,Passeriformes,Furnariidae,Schizoeaca,Schizoeaca helleri
"Agriornis micropterus Gould, 1839",SPECIES,Animalia,Passeriformes,Tyrannidae,Agriornis,Agriornis micropterus
"Orestias agassizii Valenciennes, 1846",SPECIES,Animalia,Cyprinodontiformes,Cyprinodontidae,Orestias,Orestias agassizii
"Orestias agassii Valenciennes, 1846",SPECIES,Animalia,Cyprinodontiformes,Cyprinodontidae,Orestias,Orestias agassizii
"Telmatobius jelskii (Peters, 1873)",SPECIES,Animalia,Anura,Telmatobiidae,Telmatobius,Telmatobius jelskii
"Orestias empyraeus Allen, 1942",SPECIES,Animalia,Cyprinodontiformes,Cyprinodontidae,Orestias,Orestias empyraeus
"Lieinix nemesis (Latreille, 1813)",SPECIES,Animalia,Lepidoptera,Pieridae,Lieinix,Lieinix nemesis
"Cacoscelis marginata binotata Illiger, 1807",SUBSPECIES,Animalia,Coleoptera,Chrysomelidae,Cacoscelis,Cacoscelis marginata
"Aglaeactis cupripennis caumatonota Gould, 1848",SUBSPECIES,Animalia,Apodiformes,Trochilidae,Aglaeactis,Aglaeactis cupripennis
"Xenodacnis parina parina Cabanis, 1873",SUBSPECIES,Animalia,Passeriformes,Thraupidae,Xenodacnis,Xenodacnis parina
"Saltator aurantiirostris albociliaris (Philippi & Landbeck, 1861)",SUBSPECIES,Animalia,Passeriformes,Thraupidae,Saltator,Saltator aurantiirostris
"Sangala alcera (Boisduval, 1870)",SPECIES,Animalia,Lepidoptera,Geometridae,Sangala,Sangala alcera
"Lagidium viscacia (Molina, 1782)",SPECIES,Animalia,Rodentia,Chinchillidae,Lagidium,Lagidium viscacia
"Pterophanes cyanopterus (Fraser, 1840)",SPECIES,Animalia,Apodiformes,Trochilidae,Pterophanes,Pterophanes cyanopterus
"Tinamus major (J.F.Gmelin, 1789)",SPECIES,Animalia,Tinamiformes,Tinamidae,Tinamus,Tinamus major
"Tinamus guttatus Pelzeln, 1863",SPECIES,Animalia,Tinamiformes,Tinamidae,Tinamus,Tinamus guttatus
"Diglossa cyanea (Lafresnaye, 1840)",SPECIES,Animalia,Passeriformes,Thraupidae,Diglossa,Diglossa cyanea
"Synallaxis courseni Blake, 1971",SPECIES,Animalia,Passeriformes,Furnariidae,Synallaxis,Synallaxis courseni
"Ramphomicron microrhynchum (Boissonneau, 1840)",SPECIES,Animalia,Apodiformes,Trochilidae,Ramphomicron,Ramphomicron microrhynchum
"Vireo chivi (Vieillot, 1817)",SPECIES,Animalia,Passeriformes,Vireonidae,Vireo,Vireo olivaceus
"Colaptes rivolii (Boissonneau, 1840)",SPECIES,Animalia,Piciformes,Picidae,Colaptes,Colaptes rivolii
"Megascops koepckeae (Hekstra, 1982)",SPECIES,Animalia,Strigiformes,Strigidae,Megascops,Megascops koepckeae
"Geositta cunicularia (Vieillot, 1816)",SPECIES,Animalia,Passeriformes,Furnariidae,Geositta,Geositta cunicularia
"Buteo albonotatus Kaup, 1847",SPECIES,Animalia,Accipitriformes,Accipitridae,Buteo,Buteo albonotatus
"Agriornis montanus insolens P.L.Sclater & Salvin, 1869",SUBSPECIES,Animalia,Passeriformes,Tyrannidae,Agriornis,Agriornis montanus
"Rupornis magnirostris (Gmelin, 1788)",SPECIES,Animalia,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris
"Cavia tschudii Fitzinger, 1857",SPECIES,Animalia,Rodentia,Caviidae,Cavia,Cavia tschudii
"Oreonympha nobilis nobilis Gould, 1869",SUBSPECIES,Animalia,Apodiformes,Trochilidae,Oreonympha,Oreonympha nobilis
"Rhionaeschna fissifrons (Muzón & von Ellenrieder, 2001)",SPECIES,Animalia,Odonata,Aeshnidae,Rhionaeschna,Rhionaeschna fissifrons
"Bombus funebris Smith, 1854",SPECIES,Animalia,Hymenoptera,Apidae,Bombus,Bombus funebris
"Carduelis magellanica peruana (von Berlepsch & Stolzmann, 1896)",SUBSPECIES,Animalia,Passeriformes,Fringillidae,Spinus,Spinus magellanicus
"Astroblepus sabalo (Valenciennes, 1840)",SPECIES,Animalia,Siluriformes,Astroblepidae,Astroblepus,Astroblepus sabalo
"Dipsas peruana (Boettger, 1898)",SPECIES,Animalia,NA,Colubridae,Dipsas,Dipsas peruana
"Atractus peruvianus (Jan, 1862)",SPECIES,Animalia,NA,Colubridae,Atractus,Atractus peruvianus
"Armadillidium vulgare (Latreille, 1804)",SPECIES,Animalia,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare
"Felis catus Linnaeus, 1758",SPECIES,Animalia,Carnivora,Felidae,Felis,Felis catus
"Myiotheretes fuscorufus (P.L.Sclater & Salvin, 1876)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiotheretes,Myiotheretes fuscorufus
"Vireo olivaceus (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Vireonidae,Vireo,Vireo olivaceus
"Pipraeidea melanonota (Vieillot, 1819)",SPECIES,Animalia,Passeriformes,Thraupidae,Pipraeidea,Pipraeidea melanonota
"Synallaxis albigularis P.L.Sclater, 1858",SPECIES,Animalia,Passeriformes,Furnariidae,Synallaxis,Synallaxis albigularis
"Cyanocorax violaceus Du Bus de Gisignies, 1847",SPECIES,Animalia,Passeriformes,Corvidae,Cyanocorax,Cyanocorax violaceus
"Melanerpes cruentatus (Boddaert, 1783)",SPECIES,Animalia,Piciformes,Picidae,Melanerpes,Melanerpes cruentatus
"Cacicus cela (Linnaeus, 1758)",SPECIES,Animalia,Passeriformes,Icteridae,Cacicus,Cacicus cela
"Monasa nigrifrons (von Spix, 1824)",SPECIES,Animalia,Piciformes,Bucconidae,Monasa,Monasa nigrifrons
"Icterus croconotus (Wagler, 1829)",SPECIES,Animalia,Passeriformes,Icteridae,Icterus,Icterus icterus
"Asemospiza obscura (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Asemospiza,Asemospiza obscura
"Bos taurus Linnaeus, 1758",SPECIES,Animalia,Artiodactyla,Bovidae,Bos,Bos taurus
"Lafresnaya lafresnayi (Boissonneau, 1840)",SPECIES,Animalia,Apodiformes,Trochilidae,Lafresnaya,Lafresnaya lafresnayi
"Pyrrhomyias cinnamomeus (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Pyrrhomyias,Pyrrhomyias cinnamomeus
"Cacicus chrysonotus (Lafresnaye & Orbigny, 1838)",SPECIES,Animalia,Passeriformes,Icteridae,Cacicus,Cacicus chrysonotus
"Chlorostilbon mellisugus (Linnaeus, 1758)",SPECIES,Animalia,Apodiformes,Trochilidae,Chlorostilbon,Chlorostilbon mellisugus
"Muscisaxicola flavinucha Lafresnaye, 1855",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola flavinucha
"Grallaria squamigera Prevost & Des Murs, 1842",SPECIES,Animalia,Passeriformes,Grallariidae,Grallaria,Grallaria squamigera
"Contopus virens (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Tyrannidae,Contopus,Contopus virens
"Contopus sordidulus P.L.Sclater, 1859",SPECIES,Animalia,Passeriformes,Tyrannidae,Contopus,Contopus sordidulus
"Colaptes punctigula (Boddaert, 1783)",SPECIES,Animalia,Piciformes,Picidae,Colaptes,Colaptes punctigula
"Myiothlypis luteoviridis (Bonaparte, 1845)",SPECIES,Animalia,Passeriformes,Parulidae,Myiothlypis,Myiothlypis luteoviridis
"Lama pacos (Linnaeus, 1758)",SPECIES,Animalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos
"Bolborhynchus lineola (Cassin, 1853)",SPECIES,Animalia,Psittaciformes,Psittacidae,Bolborhynchus,Bolborhynchus lineola
"Chalcostigma stanleyi (Bourcier, 1851)",SPECIES,Animalia,Apodiformes,Trochilidae,Chalcostigma,Chalcostigma stanleyi
"Elaenia obscura (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Elaenia,Elaenia obscura
"Aglaiocercus kingii (R.Lesson, 1832)",SPECIES,Animalia,Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii
"Elaenia flavogaster (Thunberg, 1822)",SPECIES,Animalia,Passeriformes,Tyrannidae,Elaenia,Elaenia flavogaster
"Pitangus sulphuratus (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus
"Turdus serranus Tschudi, 1844",SPECIES,Animalia,Passeriformes,Turdidae,Turdus,Turdus serranus
"Tigrisoma fasciatum (Such, 1825)",SPECIES,Animalia,Pelecaniformes,Ardeidae,Tigrisoma,Tigrisoma fasciatum
"Tangara xanthocephala (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Thraupidae,Tangara,Tangara xanthocephala
"Myiothlypis signata (von Berlepsch & Stolzmann, 1906)",SPECIES,Animalia,Passeriformes,Parulidae,Myiothlypis,Myiothlypis signata
"Danaus gilippus (Cramer, 1775)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
"Colaptes rubiginosus (Swainson, 1820)",SPECIES,Animalia,Piciformes,Picidae,Colaptes,Colaptes rubiginosus
"Dione juno Cramer, 1779",SPECIES,Animalia,Lepidoptera,Nymphalidae,Dione,Dione juno
"Lycalopex culpaeus (Molina, 1782)",SPECIES,Animalia,Carnivora,Canidae,Lycalopex,Lycalopex culpaeus
"Odocoileus virginianus peruvianus (Gray, 1874)",SUBSPECIES,Animalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus
"Megascops koepckeae hockingi Fjeldså et al., 2012",SUBSPECIES,Animalia,Strigiformes,Strigidae,Megascops,Megascops koepckeae
"Nystalus chacuru uncirostris (Stolzmann, 1926)",SUBSPECIES,Animalia,Piciformes,Bucconidae,Nystalus,Nystalus chacuru
"Hemiargus hanno (Stoll, 1790)",SPECIES,Animalia,Lepidoptera,Lycaenidae,Hemiargus,Hemiargus hanno
"Rekoa palegon (Cramer, 1780)",SPECIES,Animalia,Lepidoptera,Lycaenidae,Rekoa,Rekoa palegon
"Dione vanillae maculosa Stichel, 1907",SUBSPECIES,Animalia,Lepidoptera,Nymphalidae,Dione,Dione vanillae
"Cecropterus dorantes (Stoll, 1790)",SPECIES,Animalia,Lepidoptera,Hesperiidae,Urbanus,Urbanus dorantes
"Danaus plexippus nigrippus Haensch, 1909",SUBSPECIES,Animalia,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
"Hylephila phyleus (Drury, 1773)",SPECIES,Animalia,Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus
Hamadryas februa (Hübner),SPECIES,Animalia,Lepidoptera,Nymphalidae,Hamadryas,Hamadryas februa
"Parabuteo leucorrhous (Quoy & Gaimard, 1824)",SPECIES,Animalia,Accipitriformes,Accipitridae,Percnohierax,Percnohierax leucorrhous
"Myiophobus fasciatus (Statius Muller, 1776)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiophobus,Myiophobus fasciatus
"Aegolius harrisii (Cassin, 1849)",SPECIES,Animalia,Strigiformes,Strigidae,Aegolius,Aegolius harrisii
"Myrmotherula longicauda Berlepsch & Stolzmann, 1894",SPECIES,Animalia,Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula longicauda
"Epinecrophylla ornata (P.L.Sclater, 1853)",SPECIES,Animalia,Passeriformes,Thamnophilidae,Epinecrophylla,Epinecrophylla ornata
"Myioborus melanocephalus (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Parulidae,Myioborus,Myioborus melanocephalus
"Chionomesa lactea (R.Lesson, 1832)",SPECIES,Animalia,Apodiformes,Trochilidae,Chionomesa,Chionomesa lactea
"Vireo leucophrys (Lafresnaye, 1844)",SPECIES,Animalia,Passeriformes,Vireonidae,Vireo,Vireo leucophrys
"Strymon rufofusca (Hewitson, 1877)",SPECIES,Animalia,Lepidoptera,Lycaenidae,Thecla,Thecla rufofusca
"Muscisaxicola albifrons (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola albifrons
"Heraclides anchisiades (Esper, 1788)",SPECIES,Animalia,Lepidoptera,Papilionidae,Papilio,Papilio anchisiades
"Polistes xanthogaster Bequard, 1940",SPECIES,Animalia,Hymenoptera,Eumenidae,Polistes,Polistes xanthogaster
"Pheucticus aureoventris aureoventris (d'Orbigny & Lafresnaye, 1837)",SUBSPECIES,Animalia,Passeriformes,Cardinalidae,Pheucticus,Pheucticus aureoventris
"Asthenes huancavelicae usheri Morrison, 1947",SUBSPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes huancavelicae
"Agrius cingulata Fabricius, 1775",SPECIES,Animalia,Lepidoptera,Sphingidae,Agrius,Agrius cingulata
"Hyles lineata Fabricius, 1775",SPECIES,Animalia,Lepidoptera,Sphingidae,Hyles,Hyles lineata
"Melipotis bisinuata Felder, 1874",SPECIES,Animalia,Lepidoptera,Erebidae,Melipotis,Melipotis cellaris
"Manduca paphus Herrich-Schäffer, 1865",SPECIES,Animalia,Lepidoptera,Sphingidae,Manduca,Manduca afflicta
"Melipotis trujillensis Dognin, 1912",SPECIES,Animalia,Lepidoptera,Erebidae,Melipotis,Melipotis trujillensis
"Ambonus interrogationis (Blanchard, 1847)",SPECIES,Animalia,Coleoptera,Cerambycidae,Ambonus,Ambonus interrogationis
Yphthimoides leguialimai,SPECIES,Animalia,Lepidoptera,Nymphalidae,Yphthimoides,Yphthimoides leguialimai
"Myiarchus tuberculifer (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiarchus,Myiarchus tuberculifer
"Saltator maximus (P.L.S.Müller, 1776)",SPECIES,Animalia,Passeriformes,Thraupidae,Saltator,Saltator maximus
"Asthenes huancavelicae Morrison, 1938",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes huancavelicae
"Metallura aeneocauda (Gould, 1846)",SPECIES,Animalia,Apodiformes,Trochilidae,Metallura,Metallura aeneocauda
"Hypanartia bella Fabricius, 1793",SPECIES,Animalia,Lepidoptera,Nymphalidae,Hypanartia,Hypanartia bella
"Dione vanillae (Linnaeus, 1758)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Dione,Dione vanillae
"Danaus plexippus (Linnaeus, 1758)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
"Dynamine tithia Hübner, 1823",SPECIES,Animalia,Lepidoptera,Nymphalidae,Dynamine,Dynamine tithia
"Sporathraupis cyanocephala (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Sporathraupis,Sporathraupis cyanocephala
