"nombre_enviado","reino_enviado","usage_key","accepted_usage_key","scientific_name","canonical_name","rank","status","confidence","match_type","kingdom","phylum","class","order","family","genus","species","consulta_utc"
"Streptosolen jamesonii","Plantae","5341821",NA,"Streptosolen jamesonii (Benth.) Miers","Streptosolen jamesonii","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Streptosolen","Streptosolen jamesonii","2026-08-29 23:33:29 UTC"
"Tagetes multiflora","Plantae","3088531",NA,"Tagetes multiflora Kunth","Tagetes multiflora","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tagetes","Tagetes multiflora","2026-08-29 23:33:29 UTC"
"Tagetes patula","Plantae","3088492","3088488","Tagetes patula L.","Tagetes patula","SPECIES","SYNONYM",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tagetes","Tagetes erecta","2026-08-29 23:33:29 UTC"
"Tara spinosa","Plantae","5354727",NA,"Tara spinosa (Molina) Britton & Rose","Tara spinosa","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Tara","Tara spinosa","2026-08-29 23:33:29 UTC"
"Tarasa capitata","Plantae","3936920",NA,"Tarasa capitata (Cav.) D.M.Bates","Tarasa capitata","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Tarasa","Tarasa capitata","2026-08-29 23:33:29 UTC"
"Taraxacum officinale","Plantae","5394163",NA,"Taraxacum officinale Weber ex F.H.Wigg.","Taraxacum officinale","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Taraxacum","Taraxacum officinale","2026-08-29 23:33:29 UTC"
"Tecoma fulva","Plantae","7298537",NA,"Tecoma fulva (Cav.) G.Don","Tecoma fulva","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","Tecoma","Tecoma fulva","2026-08-29 23:33:29 UTC"
"Tecoma stans","Plantae","3172492",NA,"Tecoma stans (L.) Juss. ex Kunth","Tecoma stans","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","Tecoma","Tecoma stans","2026-08-29 23:33:29 UTC"
"Telipogon antisuyuensis","Plantae","2791088",NA,"Telipogon antisuyuensis Nauray & A.Gal<U+00E1>n","Telipogon antisuyuensis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Telipogon","Telipogon antisuyuensis","2026-08-29 23:33:29 UTC"
"Tillandsia denudata","Plantae","2695281",NA,"Tillandsia denudata Andr<U+00E9>","Tillandsia denudata","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Tillandsia","Tillandsia denudata","2026-08-29 23:33:29 UTC"
"Tillandsia minutiflora","Plantae","7554143",NA,"Tillandsia minutiflora Donadio","Tillandsia minutiflora","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Tillandsia","Tillandsia minutiflora","2026-08-29 23:33:29 UTC"
"Tillandsia patula","Plantae","2699855","5288920","Tillandsia patula Mez","Tillandsia patula","SPECIES","SYNONYM",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Vriesea","Vriesea patula","2026-08-29 23:33:29 UTC"
"Tillandsia pyramidata","Plantae","2694989",NA,"Tillandsia pyramidata Andr<U+00E9>","Tillandsia pyramidata","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Tillandsia","Tillandsia pyramidata","2026-08-29 23:33:29 UTC"
"Tillandsia recurvata","Plantae","2695588",NA,"Tillandsia recurvata (L.) L.","Tillandsia recurvata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Tillandsia","Tillandsia recurvata","2026-08-29 23:33:29 UTC"
"Tillandsia streptocarpa","Plantae","2695421",NA,"Tillandsia streptocarpa Baker","Tillandsia streptocarpa","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Tillandsia","Tillandsia streptocarpa","2026-08-29 23:33:29 UTC"
"Tillandsia usneoides","Plantae","2695149",NA,"Tillandsia usneoides (L.) L.","Tillandsia usneoides","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Tillandsia","Tillandsia usneoides","2026-08-29 23:33:29 UTC"
"Trichlora peruviana","Plantae","2854641",NA,"Trichlora peruviana Baker","Trichlora peruviana","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Trichlora","Trichlora peruviana","2026-08-29 23:33:29 UTC"
"Trichocereus cuzcoensis","Plantae","3952569",NA,"Trichocereus cuzcoensis Britton & Rose","Trichocereus cuzcoensis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Trichocereus","Trichocereus cuzcoensis","2026-08-29 23:33:29 UTC"
"Trichoceros antennifer","Plantae","5308667",NA,"Trichoceros antennifer (Bonpl.) Kunth","Trichoceros antennifer","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichoceros","Trichoceros antennifer","2026-08-29 23:33:29 UTC"
"Trifolium amabile","Plantae","5358989",NA,"Trifolium amabile Kunth","Trifolium amabile","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium amabile","2026-08-29 23:33:29 UTC"
"Trifolium repens","Plantae","5358748",NA,"Trifolium repens L.","Trifolium repens","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium repens","2026-08-29 23:33:29 UTC"
"Trihesperus glaucus","Plantae","2769690",NA,"Trihesperus glaucus (Ruiz & Pav.) Herb.","Trihesperus glaucus","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Trihesperus","Trihesperus glaucus","2026-08-29 23:33:29 UTC"
"Tripodanthus acutifolius","Plantae","4004147",NA,"Tripodanthus acutifolius (Ruiz & Pav.) Tiegh.","Tripodanthus acutifolius","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","Tripodanthus","Tripodanthus acutifolius","2026-08-29 23:33:29 UTC"
"Tristerix penduliflorus","Plantae","4003861",NA,"Tristerix penduliflorus Kuijt","Tristerix penduliflorus","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","Tristerix","Tristerix penduliflorus","2026-08-29 23:33:29 UTC"
