"gbif_key","occurrence_id_original","inat_observation_id"
"3994100607","https://www.inaturalist.org/observations/141428614","141428614"
"1586935172","https://www.inaturalist.org/observations/7470839","7470839"
"5134105438","https://www.inaturalist.org/observations/271091030","271091030"
"4413362533","https://www.inaturalist.org/observations/170801495","170801495"
"4165784257","https://www.inaturalist.org/observations/174846619","174846619"
"4165964986","https://www.inaturalist.org/observations/174846912","174846912"
"4465654007","https://www.inaturalist.org/observations/174845638","174845638"
"3858357623","https://www.inaturalist.org/observations/119332089","119332089"
"3881810437","https://www.inaturalist.org/observations/120751078","120751078"
"3888738734","https://www.inaturalist.org/observations/129299027","129299027"
"3888789586","https://www.inaturalist.org/observations/129298991","129298991"
"3888855594","https://www.inaturalist.org/observations/129304010","129304010"
"3889065601","https://www.inaturalist.org/observations/129298865","129298865"
"3925487613","https://www.inaturalist.org/observations/138343990","138343990"
"5828285487","https://www.inaturalist.org/observations/100232371","100232371"
"6352725458","https://www.inaturalist.org/observations/336704866","336704866"
"2634466590","https://www.inaturalist.org/observations/47945543","47945543"
"3455252895","https://www.inaturalist.org/observations/47945541","47945541"
"5140798332","https://www.inaturalist.org/observations/275353325","275353325"
"5140798359","https://www.inaturalist.org/observations/275360345","275360345"
"5140812380","https://www.inaturalist.org/observations/275360642","275360642"
"5140921342","https://www.inaturalist.org/observations/275358843","275358843"
"5154694736","https://www.inaturalist.org/observations/278420038","278420038"
"4067344191","https://www.inaturalist.org/observations/151534906","151534906"
"4067311198","https://www.inaturalist.org/observations/151534909","151534909"
"4067657233","https://www.inaturalist.org/observations/151534903","151534903"
"4171612872","https://www.inaturalist.org/observations/176130611","176130611"
"4172030749","https://www.inaturalist.org/observations/176266015","176266015"
"3746952089","https://www.inaturalist.org/observations/109455659","109455659"
"3747122303","https://www.inaturalist.org/observations/109455656","109455656"
"3747205487","https://www.inaturalist.org/observations/109455663","109455663"
"3873452594","https://www.inaturalist.org/observations/127908161","127908161"
"6431315324","https://www.inaturalist.org/observations/377372656","377372656"
"6399485538","https://www.inaturalist.org/observations/369853301","369853301"
"5140888034","https://www.inaturalist.org/observations/275350497","275350497"
"5827843590","https://www.inaturalist.org/observations/311219277","311219277"
"5897081746","https://www.inaturalist.org/observations/325961010","325961010"
"5897349246","https://www.inaturalist.org/observations/325961011","325961011"
"5897530673","https://www.inaturalist.org/observations/325961013","325961013"
"4901527542","https://www.inaturalist.org/observations/223088029","223088029"
"5063575302","https://www.inaturalist.org/observations/259950825","259950825"
"4954526753","https://www.inaturalist.org/observations/246931501","246931501"
"6469686117","https://www.inaturalist.org/observations/384828245","384828245"
"4067565394","https://www.inaturalist.org/observations/151697346","151697346"
"5935812776","https://www.inaturalist.org/observations/331118522","331118522"
"4465431245","https://www.inaturalist.org/observations/193416324","193416324"
"4465435267","https://www.inaturalist.org/observations/193416320","193416320"
"4465739310","https://www.inaturalist.org/observations/193416318","193416318"
"4607008317","https://www.inaturalist.org/observations/205216176","205216176"
"3963355246","https://www.inaturalist.org/observations/141326001","141326001"
"3985741909","https://www.inaturalist.org/observations/139876001","139876001"
"3963504857","https://www.inaturalist.org/observations/140995652","140995652"
"4075648954","https://www.inaturalist.org/observations/151696748","151696748"
"3466528131","https://www.inaturalist.org/observations/105798972","105798972"
"2802754521","https://www.inaturalist.org/observations/49848853","49848853"
"3384268736","https://www.inaturalist.org/observations/94661748","94661748"
"3773286026","https://www.inaturalist.org/observations/116592005","116592005"
"4919166718","https://www.inaturalist.org/observations/231605290","231605290"
"6178580411","https://www.inaturalist.org/observations/341776535","341776535"
"6178596974","https://www.inaturalist.org/observations/341775949","341775949"
"6178680275","https://www.inaturalist.org/observations/341775946","341775946"
"6178733368","https://www.inaturalist.org/observations/341775952","341775952"
"6178894124","https://www.inaturalist.org/observations/341775955","341775955"
"6179115641","https://www.inaturalist.org/observations/341775954","341775954"
"6179279286","https://www.inaturalist.org/observations/341775958","341775958"
"6179439395","https://www.inaturalist.org/observations/341776533","341776533"
"6179450647","https://www.inaturalist.org/observations/341775959","341775959"
"6470403379","https://www.inaturalist.org/observations/384878185","384878185"
"6481203384","https://www.inaturalist.org/observations/381982388","381982388"
"6480056729","https://www.inaturalist.org/observations/388047654","388047654"
"5063166844","https://www.inaturalist.org/observations/259023554","259023554"
"5133648230","https://www.inaturalist.org/observations/270635940","270635940"
"5133668770","https://www.inaturalist.org/observations/270635939","270635939"
"5133692705","https://www.inaturalist.org/observations/270635936","270635936"
"5133692706","https://www.inaturalist.org/observations/270635963","270635963"
"5133711986","https://www.inaturalist.org/observations/270635938","270635938"
"5133721876","https://www.inaturalist.org/observations/270635946","270635946"
"5133758766","https://www.inaturalist.org/observations/270635952","270635952"
"5133763893","https://www.inaturalist.org/observations/270635953","270635953"
"5133777255","https://www.inaturalist.org/observations/270640671","270640671"
"5133782930","https://www.inaturalist.org/observations/270635944","270635944"
"5133847113","https://www.inaturalist.org/observations/270635945","270635945"
"5133876873","https://www.inaturalist.org/observations/270635955","270635955"
"5133895389","https://www.inaturalist.org/observations/270640674","270640674"
"5133920001","https://www.inaturalist.org/observations/270635947","270635947"
"5133937355","https://www.inaturalist.org/observations/270640673","270640673"
"5133979971","https://www.inaturalist.org/observations/270635951","270635951"
"5134056565","https://www.inaturalist.org/observations/271088503","271088503"
"5134114695","https://www.inaturalist.org/observations/271088502","271088502"
"5153377940","https://www.inaturalist.org/observations/275361424","275361424"
"5154144991","https://www.inaturalist.org/observations/278636310","278636310"
"5154804007","https://www.inaturalist.org/observations/278636320","278636320"
"5167245130","https://www.inaturalist.org/observations/283511103","283511103"
"5167363593","https://www.inaturalist.org/observations/282985894","282985894"
"5237574494","https://www.inaturalist.org/observations/301573378","301573378"
"5237688493","https://www.inaturalist.org/observations/301574014","301574014"
"5237838520","https://www.inaturalist.org/observations/301573724","301573724"
"5827714091","https://www.inaturalist.org/observations/311964495","311964495"
"6129986193","https://www.inaturalist.org/observations/313947390","313947390"
"5897084415","https://www.inaturalist.org/observations/325969061","325969061"
"5897094857","https://www.inaturalist.org/observations/325968440","325968440"
"5897210502","https://www.inaturalist.org/observations/325969504","325969504"
"5897253268","https://www.inaturalist.org/observations/325970003","325970003"
"5897299035","https://www.inaturalist.org/observations/325967984","325967984"
"5897459907","https://www.inaturalist.org/observations/325969652","325969652"
"5897708578","https://www.inaturalist.org/observations/325969347","325969347"
"5897845197","https://www.inaturalist.org/observations/325968860","325968860"
"5909326951","https://www.inaturalist.org/observations/328230307","328230307"
"5920073920","https://www.inaturalist.org/observations/329893594","329893594"
"5920153615","https://www.inaturalist.org/observations/329893365","329893365"
"5920454503","https://www.inaturalist.org/observations/329892630","329892630"
"4528253031","https://www.inaturalist.org/observations/200152794","200152794"
"5168477578","https://www.inaturalist.org/observations/283429545","283429545"
"4980305343","https://www.inaturalist.org/observations/251385092","251385092"
"4507899534","https://www.inaturalist.org/observations/195273154","195273154"
"4516699739","https://www.inaturalist.org/observations/195270868","195270868"
"5167517414","https://www.inaturalist.org/observations/116320175","116320175"
"4133596482","https://www.inaturalist.org/observations/151542625","151542625"
"4133631464","https://www.inaturalist.org/observations/151542628","151542628"
"4133658509","https://www.inaturalist.org/observations/151542631","151542631"
