"dataset_key","dataset_title","dataset_doi","publishing_organization_key"
"6cb1a437-f8a6-4bdc-a534-87cf2b710427","HUEFS herbarium - Universidade Estadual de Feira de Santana - Herb<U+00E1>rio Virtual REFLORA","10.15468/gsy3jn","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"09010edb-5e55-4dc0-8a97-a26a3bb89e85","HUFU - Herbarium Uberlandense","10.15468/m2murq","9610290b-e0ea-439b-b726-ba11bcecfb86"
"3cc6171e-8c52-4f65-ad7a-32c74e395f29","Herbarium - Instituto Nacional de Pesquisas da Amaz<U+00F4>nia (INPA)","10.15468/5ictpz","c0d9c91a-0f83-4819-bf7e-bb5e1184eb6b"
"f8f35535-8c10-43fc-89dc-eb0843f25394","Herbarium GB, University of Gothenburg","10.15468/asgd85","0ed04352-6745-4665-9e11-7117ee91a96b"
"4747636a-d019-4f30-a0c2-c930b864ad7e","Herbarium areqvipense (HUSA)","10.15468/u6ypjm","28d17f8f-39f3-4041-9734-67c4f1e7693e"
"2273e40d-26c2-4959-aea2-b6abcce16d09","ICN - Herb<U+00E1>rio do Instituto de Ci<U+00EA>ncias Naturais","10.15468/gwuezt","04481953-6112-489f-bb8d-9703d787e3ea"
"4bda7e86-c7c0-440e-bed4-bde6c52a28c2","ICN herbarium - Universidade Federal do Rio Grande do Sul - Herb<U+00E1>rio Virtual REFLORA","10.15468/suhqjx","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"d8cd16ba-bb74-4420-821e-083f2bac17c2","INSDC Sequences","10.15468/sbmztx","ada9d123-ddb4-467d-8891-806ea8d94230"
"df761c30-988d-4ff8-b7d4-b24ff51c0c8d","IRAI - Herb<U+00E1>rio do Parque da Ci<U+00EA>ncia Newton Freire Maia","10.15468/nr4sgo","a22bfc81-4a56-411f-9a83-860e28e22374"
"39c43f87-ad33-48f6-867c-29768e1f06d1","Indiana University Herbarium, Deam Herbarium","10.15468/rcp3pv","26a503f6-b337-424b-8d7a-b3ab11d2597f"
"ca0d1f8f-4ba5-4187-82ec-ed8a66745b67","Insect Occurrence Data from MIZA","10.15468/ah3is7","3eeffcbd-0e84-4223-ac65-3d32e7cc8511"
"838475f4-f762-11e1-a439-00145eb45e9a","Institut Botanic de Barcelona (IBB), CSIC-CMCNB <U+2013> BC-Plantae","10.15470/kpzouc","6f3ccc65-0a54-4e65-ae7e-13b92d618e7c"
"f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7","Instituto de Bot<U+00E1>nica Darwinion","10.15468/vtfbe3","b6f05cf0-43ce-11d9-8439-b8a03c50a862"
"040c5662-da76-4782-a48e-cdea1892d14c","International Barcode of Life project (iBOL)","10.15468/inygc6","b3bf3a83-1f68-4541-a03f-330d30d567f5"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","KUBI Herpetology Collection","10.15468/ubdwdc","b554c320-0560-11d8-b851-b8a03c50a862"
"84829fe4-f762-11e1-a439-00145eb45e9a","LSUMZ Birds Collection","10.15468/d90jm5","c361e830-181e-11da-9544-b8a03c50a862"
"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1","Macaulay Library Audio and Video Collection","10.15468/ckcdpy","e2e717bf-551a-4917-bdc9-4fa0f342c530"
"b740eaa0-0679-41dc-acb7-990d562dfa37","Meise Botanic Garden Herbarium (BR)","10.15468/wrthhx","a344ee9f-f1b7-4761-be2c-58ee6d741395"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Museum of Comparative Zoology, Harvard University","10.15468/p5rupv","b4640710-8e03-11d8-b956-b8a03c50a862"
"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","NABU|naturgucker","10.15468/uc1apo","bb646dff-a905-4403-a49b-6d378c2cf0d9"
"e5c5cad9-b987-4bb4-b07b-85488c5fdd80","NHMD Ornithology Collection","10.15468/zq2fhw","2e7df380-8356-4533-bcb3-5459e23c794e"
"821cc27a-e3bb-4bc5-ac34-89ada245069d","NMNH Extant Specimen Records (USNM, US)","10.15468/hnhrg3","bc092ff0-02e4-11dc-991f-b8a03c50a862"
"26098c25-8f7f-4c71-97ac-1d3db181c65e","NMNH Material Samples (USNM)","10.15468/jb9tdf","bc092ff0-02e4-11dc-991f-b8a03c50a862"
"7e380070-f762-11e1-a439-00145eb45e9a","Natural History Museum (London) Collection Specimens","10.5519/qd.20dz6blc","19456090-b49a-11d8-abeb-b8a03c50a862"
"7f5260c2-f762-11e1-a439-00145eb45e9a","Natural History Museum, Vienna - Herbarium W","10.15468/5sl7sh","4e11d750-bafb-11d9-8e53-b8a03c50a862"
"15f819bd-6612-4447-854b-14d12ee1022d","Naturalis Biodiversity Center (NL) - Botany","10.15468/ib5ypt","396d5f30-dea9-11db-8ab4-b8a03c50a862"
"55ed002b-5c27-4db4-a616-e4a5af04010b","New records of Frullania Raddi (Frullaniaceae, Marchantiophyta) from Peru including notes on F. tetraptera Nees & Mont. and its synonyms","10.15468/9adhrm","7ce8aef0-9e92-11dc-8738-b8a03c50a862"
"8a863029-f435-446a-821e-275f4f641165","Observation.org, Nature data from around the World","10.15468/5nilie","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f"
"14d5676a-2c54-4f94-9023-1e8dcd822aa0","Pl@ntNet automatically identified occurrences","10.15468/mma2ec","da86174a-a605-43a4-a5e8-53d484152cd3"
"cd096ec0-a8a0-4c65-92cc-48b00fb934ce","Plant Resources Center","10.15468/g85t8z","3c6ad080-bdbe-11da-ac59-b8a03c50a862"
"0c4bf92b-95c9-4a2a-9756-67d98195459f","RBINS Bird collection","10.15468/4gzrjh","e88c96a3-5884-4e51-a580-e417ca4c9eed"
"8138eb72-f762-11e1-a439-00145eb45e9a","RBINS DaRWIN","10.15468/qxy4mc","e88c96a3-5884-4e51-a580-e417ca4c9eed"
"7adf20e0-c955-11de-95c0-b8a03c50a862","Royal Botanic Garden Edinburgh Living Plant Collections (E)","10.15468/bkzv1l","98e934b0-5f31-11de-b67e-b8a03c50a862"
"cd6e21c8-9e8a-493a-8a76-fbf7862069e5","Royal Botanic Gardens, Kew - Herbarium Specimens","10.15468/ly60bx","061b4f20-f241-11da-a328-b8a03c50a862"
"96867b98-f762-11e1-a439-00145eb45e9a","SINGER Coordinator","10.15468/oya7kn","a3c228d0-3110-11db-abb8-b8a03c50a862"
"1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","SPF - Herb<U+00E1>rio da Universidade de S<U+00E3>o Paulo","10.15468/hnlkxx","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8"
